Date,Value_2016base
01-03-2020,113.1944444
01-04-2020,114.2361111
01-05-2020,114.5833333
01-06-2020,115.2777778
01-07-2020,116.6666667
01-08-2020,117.3611111
01-09-2020,118.1
01-10-2020,119.5
01-11-2020,119.9
01-12-2020,118.8
01-01-2021,118.2
01-02-2021,119
01-03-2021,119.6
01-04-2021,120.1
01-05-2021,120.6
01-06-2021,121.7
01-07-2021,122.8
01-08-2021,123
01-09-2021,123.3
01-10-2021,124.9
01-11-2021,125.7
01-12-2021,125.4
01-01-2022,125.1
01-02-2022,125
01-03-2022,126
01-04-2022,127.7
01-05-2022,129
01-06-2022,129.2
01-07-2022,129.9
01-08-2022,130.2
01-09-2022,131.3
01-10-2022,132.5
01-11-2022,132.5
01-12-2022,132.3
01-01-2023,132.8
01-02-2023,132.7
01-03-2023,133.3
01-04-2023,134.2
01-05-2023,134.7
01-06-2023,136.4
01-07-2023,139.7
01-08-2023,139.2
01-09-2023,137.5
01-10-2023,138.4
01-11-2023,139.1
01-12-2023,138.8
01-01-2024,138.9
01-02-2024,139.2
01-03-2024,138.9
01-04-2024,139.4
01-05-2024,139.9
01-06-2024,141.4
01-07-2024,142.7
01-08-2024,142.6
01-09-2024,143.3
01-10-2024,144.5
01-11-2024,144.5
01-12-2024,143.7
01-01-2025,143.2
01-02-2025,142.8
01-03-2025,143
01-04-2025,143.5
01-05-2025,144
01-06-2025,145
01-07-2025,146.5
01-08-2025,147.1
01-09-2025,147.3
