Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1997 - 1998,Karnataka,2707.44,1658.2,-23.37,4342.27,,5539.99,,45355.47,,,,,,,2879.92,10252.11,5909.84,53001.24,,,8435.57,,89635.08,120635.25,369.85,36155.8,47461.25,92915.0,552.0,,,84383.0,,,,,,,36113.2,3322.55,44279.61,79053.21,182959.39,9020.39,2869.88,,,23812.86,170541.84,93219.0,,223543.08,,,,18425.63,33697.74
1997 - 1998,Kerala,827.61,1043.87,453.1,2324.58,,326.28,,5165.81,,,,,,,217.63,2830.32,505.74,2218.44,,,954.73,,9217.86,4235.25,179.46,589.28,1892.16,3266.0,32.0,,,2943.0,,,,,,,5008.44,94.71,4052.05,7800.24,6533.25,-18.44,348.15,,,513.01,6385.11,3266.0,,8603.55,,,,365.91,2634.43
1997 - 1998,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Madhya Pradesh,4.83,22.35,53.97,81.15,,16.93,,430.83,,,,,,,22.26,274.17,193.02,462.05,,,64.59,,864.12,654.75,176.09,372.46,445.12,741.0,8.0,,,645.0,,,,,,,510.91,29.56,433.29,861.01,981.29,161.94,8.07,,,180.96,996.92,748.0,,1458.97,,,,128.8,430.18
1997 - 1998,Maharashtra,-1734.67,4614.55,547.61,3427.49,,3484.03,,33732.19,,,,,,,2127.82,13277.83,9850.34,33529.35,,,3933.12,,64158.59,84556.07,6366.31,25506.32,30045.32,23429.0,768.0,,,17334.0,,,,,,,22756.16,1867.56,30426.4,91401.0,137713.97,13328.58,605.88,,,10310.18,149575.0,24124.0,,183104.35,,,,6139.72,57668.81
1997 - 1998,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Orissa,0.0,0.0,0.0,0.0,,6.33,,81.23,,,,,,,0.6,0.0,0.0,6.9,,,17.3,,100.96,0.19,-6.33,-16.73,0.57,26.0,4.0,,,14.0,,,,,,,139.88,0.12,19.73,125.69,0.0,-21.13,0.0,,,4.28,1.96,26.0,,8.86,,,,2.09,44.46
1997 - 1998,Puducherry,-34.3,314.39,109.24,389.33,,226.63,,3238.1,,,,,,,20.28,495.33,106.0,1018.33,,,373.81,,4509.17,3903.19,-120.63,406.3,791.7,795.0,10.0,,,694.0,,,,,,,3787.19,25.74,1271.07,5094.64,4736.07,216.32,11.59,,,164.24,4004.98,796.0,,5023.31,,,,111.61,1856.54
1997 - 1998,Punjab,2329.32,2066.54,2003.66,6399.52,,2550.39,,16141.44,,,,,,,1655.92,8873.42,2473.9,23292.15,,,3316.55,,45257.32,62969.44,-76.49,17270.91,20741.76,12891.0,453.0,,,10508.0,,,,,,,10198.16,442.08,29115.88,67220.18,98430.0,12129.15,154.3,,,4699.68,86856.6,13531.0,,110148.75,,,,3458.05,51078.74
1997 - 1998,Rajasthan,-859.28,1282.12,27.67,450.51,,1429.76,,11649.22,,,,,,,664.51,3159.16,2708.65,11013.94,,,1604.89,,23794.4,20198.75,1278.89,7888.09,9584.18,3919.0,112.0,,,2918.0,,,,,,,3561.52,352.16,12145.18,26741.33,39999.85,6307.23,91.2,,,1228.7,33230.31,3960.0,,44244.25,,,,776.71,15092.11
1997 - 1998,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Tamil Nadu,-3592.27,10150.4,4800.12,11358.25,,12078.67,,92999.78,,,,,,,6475.41,38478.62,27120.37,94426.42,,,13538.19,,208756.98,296121.53,15041.7,43288.94,82347.75,123083.0,1576.0,,,106521.0,,,,,,,70258.77,4886.96,115757.2,226469.12,468161.51,9278.44,25520.62,,,29123.54,425874.13,125315.0,,520300.55,,,,21518.56,133469.34
1997 - 1998,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,Uttar Pradesh,-937.7,4206.52,-10.54,3258.28,,2373.84,,42799.33,,,,,,,2429.89,9868.3,6610.02,18192.87,,,6950.64,,60915.95,40498.48,4236.18,8488.65,15819.03,12319.0,204.0,,,9117.0,,,,,,,32745.07,890.5,18116.62,62258.29,69308.49,2713.01,379.74,,,4885.14,58735.74,12401.0,,76928.61,,,,2623.65,19458.96
1997 - 1998,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 - 1998,West Bengal,100.86,-572.17,-135.51,-606.82,,807.71,,2140.9,,,,,,,756.06,-217.21,389.61,13007.71,,,349.91,,4895.99,17890.39,-418.1,11841.33,12200.0,7010.0,29.0,,,4771.0,,,,,,,2526.35,655.12,2755.09,3156.5,24304.88,7053.21,8.76,,,4133.0,22088.96,7024.0,,35096.67,,,,2572.96,1015.6
1998 - 1999,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Andhra Pradesh,94.0,-245.0,59.0,-92.0,11.0,82.0,566.0,918.0,0.0,0.0,120.35,2835.0,1.11,15.85,137.0,136.0,228.0,1653.0,229.0,623.0,215.0,,2774.0,3088.0,146.0,914.0,1571.0,3955.0,40.0,40.0,1181.0,3389.0,3149.0,0.0,1306.0,1843.0,240.0,153.0,1902.0,37.0,1856.0,2367.0,4869.0,261.0,442.0,,413.0,617.0,3943.0,3955.0,,5596.0,30.0,137.0,606.0,439.0,1449.0
1998 - 1999,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Chandigarh,0.0,17.0,0.0,17.0,0.0,2.0,3.0,14.0,0.0,0.0,1.19,38.0,0.0,0.38,2.0,28.0,11.0,18.0,12.0,6.0,3.0,,51.0,59.0,9.0,13.0,16.0,13.0,3.0,3.0,4.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,,1.0,38.0,25.0,83.0,8.0,,,3.0,4.0,66.0,14.0,,83.0,0.0,1.0,4.0,3.0,11.0
1998 - 1999,Chhattisgarh,47.0,38.0,2.0,87.0,0.0,7.0,43.0,38.0,0.0,0.0,2.82,76.0,0.0,4.85,8.0,102.0,15.0,103.0,,,10.0,,221.0,353.0,8.0,83.0,96.0,295.0,5.0,,80.0,252.0,252.0,0.0,147.0,105.0,0.0,32.0,40.0,0.0,183.0,171.0,488.0,19.0,2.0,,11.0,65.0,385.0,294.0,,488.0,9.0,4.0,64.0,51.0,133.0
1998 - 1999,Dadra & Nagar Haveli,377.0,-5.0,155.0,527.0,0.0,174.0,74.0,2578.0,0.0,0.0,217.5,9062.0,0.0,77.02,295.0,527.0,0.0,2760.0,0.0,2857.0,622.0,,3531.0,3811.0,-174.0,1964.0,2586.0,487.0,3.0,3.0,176.0,413.0,340.0,0.0,340.0,0.0,73.0,57.0,5291.0,20.0,953.0,2643.0,6930.0,1733.0,0.0,,17.0,210.0,4315.0,487.0,,7074.0,48.0,16.0,210.0,146.0,65.0
1998 - 1999,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Daman & Diu,-245.0,302.0,87.0,144.0,67.0,234.0,219.0,1939.0,0.0,0.0,109.38,4255.0,0.0,48.78,158.0,544.0,399.0,,481.0,807.0,49.0,,3058.0,6192.0,166.0,2597.0,2650.0,2598.0,21.0,7.0,786.0,2379.0,2379.0,0.0,1644.0,735.0,0.0,65.0,186.0,131.0,1119.0,4210.0,9944.0,1761.0,5.0,,154.0,704.0,7931.0,2598.0,,10815.0,29.0,112.0,637.0,496.0,2271.0
1998 - 1999,Delhi,3185.0,-4415.0,-818.0,-2048.0,1019.0,6511.0,9575.0,44313.0,0.0,0.0,3006.55,85246.0,13.79,2089.88,5110.0,6397.0,8445.0,89836.0,11132.0,14688.0,6768.0,,112053.0,177750.0,1933.0,74648.0,83325.0,27905.0,598.0,528.0,8404.0,18330.0,18322.0,0.0,15504.0,2818.0,8.0,5772.0,26656.0,3370.0,67740.0,172916.0,326426.0,56612.0,1909.0,,3803.0,14666.0,274973.0,27905.0,,364809.0,2990.0,3857.0,13647.0,6800.0,128603.0
1998 - 1999,Goa,,,,-31.0,6.0,59.0,60.0,443.0,0.0,0.0,11.13,312.0,1.95,2.7,16.0,1.0,32.0,490.0,,,176.0,,768.0,457.0,-26.0,247.0,431.0,264.0,6.0,,76.0,204.0,204.0,0.0,18.0,186.0,0.0,27.0,463.0,40.0,325.0,664.0,1007.0,111.0,8.0,,33.0,96.0,620.0,264.0,,1109.0,17.0,32.0,90.0,41.0,221.0
1998 - 1999,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Gujarat,970.0,-267.0,46.0,749.0,378.0,1440.0,1761.0,13853.0,1.0,36.02,977.11,23547.0,46.69,205.87,1265.0,2459.0,1710.0,19476.0,1603.0,10544.0,1117.0,,26504.0,41915.0,272.0,16703.0,18036.0,11092.0,236.0,234.0,3424.0,9331.0,7675.0,0.0,5315.0,2360.0,1657.0,799.0,13567.0,839.0,12650.0,26727.0,65519.0,12162.0,216.0,,962.0,3702.0,59074.0,11093.0,,78548.0,339.0,581.0,3323.0,2403.0,12874.0
1998 - 1999,Haryana,451.0,1942.0,236.0,2629.0,164.0,1538.0,1495.0,19752.0,0.0,0.0,565.0,13975.0,0.0,489.2,1054.0,4059.0,1430.0,11122.0,3956.0,9499.0,2555.0,,34590.0,25040.0,-107.0,6848.0,9584.0,7373.0,77.0,69.0,2148.0,5878.0,5824.0,0.0,4661.0,1163.0,54.0,774.0,11191.0,637.0,14837.0,36481.0,44182.0,3130.0,181.0,,721.0,3080.0,39051.0,7374.0,,50172.0,420.0,897.0,2915.0,1598.0,16729.0
1998 - 1999,Himachal Pradesh,-21.0,9.0,0.0,-12.0,1.0,19.0,13.0,126.0,0.0,0.0,4.22,205.0,0.0,6.65,11.0,26.0,38.0,89.0,63.0,91.0,1.0,,183.0,100.0,18.0,64.0,70.0,86.0,4.0,2.0,25.0,73.0,73.0,0.0,63.0,10.0,0.0,7.0,4.0,4.0,57.0,199.0,218.0,41.0,6.0,,6.0,18.0,160.0,86.0,,250.0,1.0,2.0,17.0,14.0,73.0
1998 - 1999,Jammu & Kashmir,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1998 - 1999,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Karnataka,-2281.0,-2886.0,3065.0,-2102.0,1740.0,5895.0,10793.0,41482.0,1.0,23.7,2427.23,74401.0,34.85,2105.2,4591.0,6141.0,8243.0,71947.0,10061.0,27487.0,6431.0,,90782.0,161224.0,2348.0,56935.0,66052.0,112197.0,573.0,544.0,31509.0,101404.0,101229.0,0.0,24266.0,76963.0,175.0,4378.0,35848.0,5050.0,49300.0,84334.0,246160.0,23688.0,2687.0,,6415.0,28196.0,244231.0,112197.0,,316179.0,1505.0,4594.0,26456.0,20357.0,42852.0
1998 - 1999,Kerala,58.0,-98.0,-19.0,-59.0,102.0,287.0,280.0,3493.0,0.0,0.0,75.23,3370.0,117.59,20.91,214.0,140.0,198.0,1564.0,,,765.0,,5029.0,3446.0,-89.0,460.0,1277.0,2898.0,33.0,,797.0,2618.0,2618.0,0.0,351.0,2267.0,0.0,152.0,1493.0,113.0,1536.0,2949.0,5114.0,-372.0,52.0,,128.0,719.0,4304.0,2898.0,,5869.0,43.0,108.0,617.0,466.0,-544.0
1998 - 1999,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Madhya Pradesh,70.0,72.0,4.0,146.0,25.0,112.0,291.0,1583.0,0.0,0.0,48.72,3533.0,0.05,11.99,61.0,385.0,239.0,670.0,225.0,859.0,171.0,,2399.0,1617.0,127.0,375.0,558.0,1515.0,13.0,13.0,461.0,1224.0,1076.0,0.0,699.0,377.0,149.0,115.0,946.0,44.0,816.0,2371.0,2439.0,-81.0,12.0,,176.0,412.0,2153.0,1513.0,,2823.0,27.0,101.0,386.0,258.0,788.0
1998 - 1999,Maharashtra,-420.0,524.0,48.0,152.0,560.0,2480.0,3912.0,19886.0,0.0,0.07,1646.19,36928.0,119.75,474.01,2240.0,1994.0,1842.0,32410.0,3873.0,8934.0,2956.0,,44016.0,57036.0,-638.0,26051.0,29930.0,16081.0,749.0,637.0,4869.0,12169.0,12016.0,0.0,8767.0,3249.0,152.0,2161.0,13708.0,1909.0,24130.0,48321.0,104757.0,16437.0,923.0,,1751.0,7706.0,98665.0,16080.0,,131075.0,1035.0,1479.0,7145.0,4631.0,28435.0
1998 - 1999,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Orissa,-1.0,56.0,189.0,244.0,1.0,13.0,60.0,84.0,0.0,0.0,5.83,203.0,0.0,0.0,6.0,244.0,,546.0,2.0,108.0,51.0,,547.0,927.0,-12.0,477.0,533.0,162.0,4.0,2.0,50.0,102.0,102.0,0.0,4.0,98.0,0.0,28.0,264.0,6.0,463.0,183.0,1551.0,438.0,5.0,,32.0,33.0,1013.0,162.0,,1559.0,5.0,17.0,32.0,10.0,99.0
1998 - 1999,Puducherry,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Punjab,286.0,1476.0,91.0,1853.0,384.0,4238.0,2573.0,27105.0,4.0,129.31,1795.66,53554.0,264.03,540.51,2729.0,11451.0,9598.0,25261.0,9176.0,14851.0,3438.0,,59851.0,79480.0,5361.0,17319.0,21023.0,16791.0,503.0,493.0,5163.0,14218.0,9461.0,0.0,9256.0,205.0,4758.0,1884.0,20546.0,773.0,32746.0,77919.0,112704.0,9868.0,265.0,,689.0,6678.0,98631.0,16791.0,,123892.0,932.0,490.0,6294.0,4872.0,50814.0
1998 - 1999,Rajasthan,355.0,106.0,135.0,596.0,98.0,1246.0,641.0,12566.0,0.0,0.0,396.64,11006.0,0.0,123.16,520.0,1776.0,1180.0,8749.0,1453.0,7733.0,1133.0,,19208.0,8798.0,-66.0,6207.0,7503.0,3067.0,73.0,64.0,946.0,2426.0,1792.0,0.0,1252.0,540.0,634.0,427.0,8679.0,315.0,6642.0,25968.0,21467.0,4504.0,163.0,,214.0,1388.0,15171.0,3069.0,,23922.0,253.0,286.0,1290.0,751.0,13402.0
1998 - 1999,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Tamil Nadu,3884.0,4516.0,3349.0,11749.0,2331.0,12205.0,13912.0,78838.0,0.0,0.0,3973.46,115769.0,345.41,2037.37,6356.0,19919.0,8169.0,88304.0,21489.0,31745.0,8884.0,,170724.0,222827.0,-4036.0,64738.0,76099.0,114057.0,1638.0,1433.0,33211.0,100145.0,95630.0,0.0,31637.0,63993.0,4515.0,7808.0,27025.0,4273.0,91886.0,165840.0,363848.0,35632.0,2478.0,,6104.0,24832.0,340182.0,114057.0,0.0,428487.0,2369.0,3645.0,22500.0,16486.0,87002.0
1998 - 1999,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 - 1999,Uttar Pradesh,1034.0,-570.0,-733.0,-269.0,608.0,1865.0,2883.0,20461.0,0.0,0.0,1322.94,33599.0,0.93,1220.99,2545.0,4780.0,5048.0,23019.0,5200.0,11972.0,3265.0,,38957.0,51129.0,3184.0,17436.0,21154.0,12577.0,218.0,218.0,5627.0,9694.0,7981.0,0.0,6276.0,1705.0,1713.0,1246.0,10670.0,1048.0,18496.0,45066.0,103017.0,10730.0,453.0,,1637.0,5658.0,82957.0,12577.0,,105976.0,558.0,1674.0,5050.0,2818.0,24605.0
1998 - 1999,Uttarakhand,-233.0,-82.0,-9.0,-324.0,17.0,66.0,90.0,325.0,0.0,0.0,194.36,4049.0,8.31,15.1,218.0,-186.0,138.0,376.0,138.0,883.0,33.0,,392.0,911.0,72.0,277.0,310.0,415.0,11.0,11.0,146.0,325.0,325.0,0.0,325.0,0.0,0.0,56.0,152.0,26.0,67.0,529.0,1569.0,119.0,0.0,,34.0,133.0,1194.0,414.0,,1569.0,22.0,11.0,115.0,82.0,204.0
1998 - 1999,West Bengal,16.0,-897.0,255.0,-626.0,105.0,251.0,349.0,1431.0,4.0,123.13,196.6,7566.0,0.0,55.02,375.0,-43.0,584.0,2911.0,591.0,1065.0,498.0,,4188.0,14194.0,333.0,2111.0,2660.0,3179.0,62.0,56.0,931.0,2830.0,2760.0,0.0,2742.0,18.0,71.0,234.0,1492.0,148.0,2757.0,5593.0,15988.0,1101.0,49.0,,115.0,863.0,17688.0,3178.0,,20598.0,60.0,75.0,758.0,623.0,4162.0
1999 - 2000,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Andhra Pradesh,65.0,369.0,49.0,483.0,5.0,207.0,242.0,3049.0,,,,,,,144.0,2154.0,1671.0,807.0,1684.0,2884.0,244.0,,5471.0,1376.0,1464.0,325.0,600.0,1655.0,38.0,36.0,507.0,1413.0,1414.0,0.0,716.0,698.0,0.0,128.0,3863.0,70.0,2422.0,4555.0,2505.0,-39.0,29.0,,114.0,294.0,1917.0,1654.0,,2724.0,33.0,68.0,287.0,186.0,1506.0
1999 - 2000,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Dadra & Nagar Haveli,77.0,21.0,-9.0,89.0,16.0,430.0,60.0,3730.0,,,,,,,141.0,275.0,185.0,2034.0,219.0,3924.0,362.0,,4642.0,2798.0,-245.0,1237.0,1604.0,601.0,17.0,16.0,185.0,541.0,542.0,0.0,521.0,21.0,0.0,30.0,3302.0,18.0,911.0,,5059.0,1015.0,7.0,,30.0,203.0,3385.0,601.0,,5420.0,10.0,33.0,188.0,145.0,1875.0
1999 - 2000,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Daman & Diu,224.0,195.0,60.0,479.0,36.0,165.0,194.0,1993.0,,,,,,,75.0,916.0,436.0,1724.0,755.0,1005.0,85.0,,3150.0,4202.0,271.0,1451.0,1559.0,1404.0,7.0,7.0,434.0,1210.0,1210.0,0.0,713.0,497.0,0.0,105.0,414.0,68.0,1157.0,3020.0,7016.0,963.0,23.0,,89.0,421.0,6145.0,1404.0,,7869.0,44.0,79.0,385.0,262.0,1027.0
1999 - 2000,Delhi,837.0,-3883.0,4785.0,1739.0,1400.0,9402.0,9798.0,56926.0,,,,,,,6682.0,17293.0,15553.0,90719.0,19678.0,12572.0,7539.0,,144085.0,220149.0,6151.0,72341.0,81317.0,31267.0,675.0,624.0,9491.0,21469.0,21110.0,0.0,17341.0,3769.0,359.0,5918.0,34911.0,3718.0,87160.0,213433.0,405094.0,52171.0,1437.0,,3880.0,16453.0,344274.0,31267.0,,434992.0,3609.0,3506.0,15051.0,7936.0,156507.0
1999 - 2000,Goa,-127.0,-43.0,-51.0,-221.0,4.0,52.0,36.0,391.0,,,,,,,13.0,-197.0,24.0,30.0,26.0,320.0,176.0,,501.0,340.0,-28.0,-204.0,-22.0,230.0,6.0,3.0,69.0,194.0,194.0,0.0,31.0,163.0,0.0,18.0,355.0,11.0,110.0,,331.0,-300.0,7.0,,18.0,85.0,557.0,230.0,,587.0,6.0,40.0,80.0,34.0,-239.0
1999 - 2000,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Gujarat,-373.0,-314.0,66.0,-621.0,281.0,1609.0,1497.0,18365.0,,,,,,,1106.0,645.0,1266.0,8536.0,1305.0,14538.0,971.0,,28917.0,18903.0,-344.0,5467.0,6927.0,10248.0,205.0,191.0,3069.0,8751.0,7373.0,0.0,4254.0,3119.0,1379.0,697.0,12046.0,757.0,10554.0,21596.0,28874.0,938.0,489.0,,800.0,3772.0,25659.0,10249.0,,34196.0,310.0,650.0,3489.0,2529.0,3231.0
1999 - 2000,Haryana,2193.0,2658.0,261.0,5112.0,240.0,3571.0,3128.0,38083.0,,,,,,,2642.0,13743.0,8630.0,30871.0,11884.0,13931.0,2795.0,,58246.0,60463.0,5060.0,24015.0,27300.0,13595.0,142.0,132.0,4034.0,10467.0,8022.0,0.0,6468.0,1554.0,2445.0,1375.0,23552.0,897.0,20161.0,57475.0,118177.0,17376.0,490.0,,1753.0,5743.0,98172.0,13596.0,,129043.0,691.0,1927.0,5502.0,2884.0,19392.0
1999 - 2000,Himachal Pradesh,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Jammu & Kashmir,126.0,64.0,22.0,212.0,26.0,106.0,193.0,1190.0,,,,,,,95.0,654.0,441.0,3111.0,599.0,1261.0,107.0,,1916.0,1979.0,335.0,2885.0,3005.0,928.0,6.0,6.0,282.0,735.0,735.0,0.0,730.0,5.0,0.0,69.0,345.0,44.0,726.0,1911.0,5275.0,2289.0,12.0,,124.0,552.0,2708.0,928.0,,5819.0,37.0,133.0,527.0,357.0,721.0
1999 - 2000,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Karnataka,262.0,3204.0,470.0,3936.0,1984.0,5923.0,10646.0,49785.0,,,,,,,4771.0,11851.0,7915.0,74030.0,10984.0,36373.0,5723.0,,96475.0,113624.0,1992.0,59592.0,68107.0,98792.0,572.0,556.0,29695.0,88146.0,88083.0,143.0,24152.0,63788.0,62.0,4839.0,28175.0,5153.0,46690.0,91973.0,193052.0,22114.0,2792.0,,5807.0,32326.0,169348.0,98793.0,,243378.0,2292.0,4660.0,30344.0,23392.0,42188.0
1999 - 2000,Kerala,157.0,171.0,55.0,383.0,36.0,394.0,271.0,3314.0,,,,,,,296.0,644.0,262.0,2041.0,321.0,2359.0,620.0,,4732.0,3036.0,-131.0,994.0,1647.0,2994.0,46.0,46.0,900.0,2723.0,2724.0,0.0,340.0,2384.0,0.0,162.0,4164.0,168.0,1417.0,4482.0,4525.0,-53.0,34.0,,109.0,879.0,3819.0,2994.0,,5860.0,80.0,90.0,842.0,672.0,1168.0
1999 - 2000,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 - 2000,Madhya Pradesh,-21.0,14.0,91.0,84.0,17.0,158.0,280.0,1766.0,,,,,,,65.0,362.0,278.0,955.0,281.0,1306.0,123.0,,2547.0,1099.0,120.0,661.0,797.0,1396.0,14.0,14.0,425.0,1116.0,1117.0,0.0,789.0,328.0,0.0,143.0,793.0,44.0,782.0,1993.0,1920.0,105.0,12.0,,137.0,511.0,1441.0,1396.0,,2395.0,61.0,163.0,494.0,270.0,227.0
